tune,bar,voice,onset_in_bar_wholes,duration_wholes,pitches,midi,chord,source
1,15,RH,3/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,LH,0,1/4,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,LH,1/4,1/4,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,LH,1/2,1/4,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,LH,3/4,1/4,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,CH,0,1/4,,,Eb,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,CH,1/4,1/4,,,Eb,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,CH,1/2,1/4,,,Eb,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,CH,3/4,1/4,,,Eb,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,0,3/16,Eb4,63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,3/16,1/16,Eb4,63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,1/4,3/16,Eb4,63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,7/16,1/16,F4,65,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,1/2,3/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,11/16,1/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,3/4,3/16,F4,65,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,ALT,15/16,1/16,Eb4,63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,0,3/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,3/16,1/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,1/4,3/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,7/16,1/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,1/2,3/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,11/16,1/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,3/4,3/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,BAS,15/16,1/16,Eb3,51,,"p.4 (scan 003) system 1, bar 3 of 4"
1,16,MEL,0,1/4,F4,65,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,MEL,1/4,1/4,D4,62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,MEL,1/2,1/2,F4,65,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,LH,0,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,LH,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,LH,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,LH,3/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,CH,0,1/4,,,Bb,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,ALT,0,1/4,D4,62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,ALT,1/4,1/4,D4,62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,ALT,1/2,1/2,D4,62,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,BAS,0,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,BAS,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,16,BAS,1/2,1/2,Bb2,46,,"p.4 (scan 003) system 1, bar 4 of 4"
1,17,MEL,0,3/8,F4,65,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,MEL,3/8,1/8,Eb4,63,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,MEL,1/2,3/16,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,MEL,11/16,1/16,F4,65,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,MEL,3/4,3/16,Bb4,70,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,MEL,15/16,1/16,C5,72,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,LH,0,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,LH,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,LH,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,LH,3/4,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,CH,0,1/4,,,Bb,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,0,3/8,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,3/8,1/8,C4,60,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,1/2,3/16,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,11/16,1/16,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,3/4,3/16,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,ALT,15/16,1/16,D4,62,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,0,3/8,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,3/8,1/8,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,1/2,3/16,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,11/16,1/16,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,3/4,3/16,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,17,BAS,15/16,1/16,Bb2,46,,"p.4 (scan 003) system 2, bar 1 of 4"
1,18,MEL,0,1/2,D5,74,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,MEL,1/2,1/4,Bb4,70,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,MEL,7/8,1/8,Bb4,70,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,LH,0,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,LH,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,LH,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,LH,3/4,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,CH,0,1/4,,,Bb,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,ALT,0,1/2,F4,65,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,ALT,1/2,1/4,D4,62,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,ALT,7/8,1/8,F4,65,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,BAS,0,1/2,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,BAS,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,18,BAS,7/8,1/8,Bb2,46,,"p.4 (scan 003) system 2, bar 2 of 4"
1,19,MEL,0,1/4,C5,72,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,MEL,1/4,1/4,C5,72,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,MEL,1/2,1/4,Bb4,70,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,MEL,3/4,1/4,A4,69,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,RH,0,1/4,G3 C4 Eb4,55 60 63,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,RH,1/4,1/4,G3 C4 Eb4,55 60 63,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,RH,3/4,1/4,Eb3 F3 A3 C4,51 53 57 60,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,LH,0,1/4,Eb3,51,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,LH,1/4,1/4,Eb2,39,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,LH,1/2,1/4,F2,41,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,LH,3/4,1/4,F2,41,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,CH,0,1/4,,,Cm/Eb,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,CH,1/4,1/4,,,Cm/Eb,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,CH,1/2,1/4,,,Bb/F,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,CH,3/4,1/4,,,F7,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,ALT,0,1/4,G4,67,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,ALT,1/4,1/4,G4,67,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,ALT,1/2,1/4,F4,65,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,ALT,3/4,1/4,Eb4,63,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,BAS,0,1/4,Eb3,51,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,BAS,1/4,1/4,Eb3,51,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,BAS,1/2,1/4,F3,53,,"p.4 (scan 003) system 2, bar 3 of 4"
1,19,BAS,3/4,1/4,F3,53,,"p.4 (scan 003) system 2, bar 3 of 4"
1,20,MEL,0,1/2,Bb4,70,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,RH,0,1/2,D3 F3 Bb3,50 53 58,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,0,1/8,Bb2,46,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,1/8,1/16,F2,41,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,3/16,1/16,F2,41,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,1/4,1/8,D2,38,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,3/8,1/8,F2,41,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,LH,1/2,1/2,Bb1,34,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,CH,0,1/4,,,Bb,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,ALT,0,1/2,D4,62,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
1,20,BAS,0,1/2,Bb2,46,,"p.4 (scan 003) system 2, bar 4 of 4 -- end-repeat sign, thin-thick double bar"
2,p5-1,MEL,7/8,1/16,F4,65,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,MEL,15/16,1/16,F4,65,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,CH,0,1/4,,,Bb,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-1,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 1 of 3 -- verses 2-5 (pickup 'I have')"
2,p5-2,MEL,0,1/8,F4,65,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,1/8,1/8,F4,65,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,1/4,3/16,F4,65,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,7/16,1/16,Eb4,63,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,1/2,3/16,D4,62,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,11/16,1/16,F4,65,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,3/4,3/16,Bb4,70,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,MEL,15/16,1/16,C5,72,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,CH,0,1/4,,,Bb,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-2,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 2 of 3"
2,p5-3,MEL,0,3/16,D5,74,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,3/16,1/16,C5,72,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,1/4,3/16,D5,74,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,7/16,1/16,C5,72,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,1/2,1/4,Bb4,70,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,7/8,1/16,Bb4,70,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,MEL,15/16,1/16,Bb4,70,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,CH,0,1/4,,,Bb,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-3,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 1, bar 3 of 3"
2,p5-4,MEL,0,3/16,G4,67,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,3/16,1/16,G4,67,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,1/4,3/16,G4,67,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,7/16,1/16,A4,69,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,1/2,3/16,Bb4,70,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,11/16,1/16,Bb4,70,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,3/4,3/16,A4,69,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,MEL,15/16,1/16,G4,67,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,RH,0,1/4,G3 Bb3 Eb4,55 58 63,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,RH,1/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,RH,1/2,1/4,G3 Bb3 Eb4,55 58 63,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,RH,3/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,LH,0,1/4,Eb3,51,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,LH,1/4,1/4,Eb3,51,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,LH,1/2,1/4,Eb3,51,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,LH,3/4,1/4,Eb3,51,,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,CH,0,1/4,,,Eb,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,CH,1/4,1/4,,,Eb,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,CH,1/2,1/4,,,Eb,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-4,CH,3/4,1/4,,,Eb,"p.5 (scan 004) system 2, bar 1 of 3"
2,p5-5,MEL,0,3/16,F4,65,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,3/16,1/16,G4,67,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,1/4,3/16,F4,65,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,7/16,1/16,D4,62,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,1/2,1/4,F4,65,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,7/8,1/16,F4,65,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,MEL,15/16,1/16,F4,65,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,CH,0,1/4,,,Bb,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-5,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 2, bar 2 of 3"
2,p5-6,MEL,0,3/16,F4,65,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,3/16,1/16,F4,65,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,1/4,3/16,F4,65,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,7/16,1/16,Eb4,63,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,1/2,3/16,D4,62,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,11/16,1/16,F4,65,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,3/4,3/16,Bb4,70,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,MEL,15/16,1/16,C5,72,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,CH,0,1/4,,,Bb,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-6,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 2, bar 3 of 3"
2,p5-7,MEL,0,3/16,D5,74,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,MEL,3/16,1/16,D5,74,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,MEL,1/4,3/16,D5,74,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,MEL,7/16,1/16,C5,72,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,MEL,1/2,1/4,Bb4,70,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,MEL,7/8,1/8,Bb4,70,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,LH,0,1/4,Bb2,46,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,LH,1/4,1/4,Bb2,46,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,LH,1/2,1/4,Bb2,46,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,LH,3/4,1/4,Bb2,46,,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,CH,0,1/4,,,Bb,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,CH,1/4,1/4,,,Bb,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,CH,1/2,1/4,,,Bb,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-7,CH,3/4,1/4,,,Bb,"p.5 (scan 004) system 3, bar 1 of 3"
2,p5-8,MEL,0,1/4,C5,72,,"p.5 (scan 004) system 3, bar 2 of 3"
